time_ps,Li_MSD_A2,Li_MSD_x_A2,Li_MSD_y_A2,Li_MSD_z_A2
0.71,0.09691021334178361,0.03730356759633718,0.03328284887354314,0.026323796871903296
0.72,0.1484201416977233,0.05338094181404493,0.04668189655704633,0.048357303326632024
0.73,0.22694117151761353,0.08089343356230536,0.052181903416111064,0.09386583453919713
0.74,0.28394452368249906,0.09374178758652842,0.05048910384204616,0.13971363225392444
0.75,0.255616339289845,0.08244787478570458,0.03126649574015109,0.14190196876398933
0.76,0.2036347639591186,0.06897611524103642,0.016035517507846347,0.11862313121023582
0.77,0.20041869208261698,0.07057713486483777,0.012886963046226328,0.11695459417155286
0.78,0.22898115652472037,0.07913528205539085,0.027929742142689517,0.12191613232663996
0.79,0.2443411441150621,0.08230805319833111,0.06392749463200048,0.09810559628473052
0.8,0.24016170999458733,0.08809985278481379,0.08745220452080366,0.06460965268896991
0.81,0.23037810477350473,0.10964126490966897,0.06446165586308175,0.05627518400075401
0.8200000000000001,0.21966161885416605,0.13209374052899764,0.022549902359351292,0.06501797596581718
0.8300000000000001,0.2053126787858824,0.12478265914189995,0.01700126537670798,0.06352875426727446
0.84,0.1855290902608536,0.08465762559496733,0.03130836961672434,0.0695630950491619
0.85,0.19880831335651536,0.04578909101990595,0.04655315309571995,0.10646606924088947
0.86,0.2047863995567368,0.036295358936350726,0.045507616515460786,0.12298342410492528
0.87,0.21078918523513332,0.05319618767658497,0.03393458401415273,0.1236584135443956
0.88,0.22503154445448734,0.05970063681933712,0.039722560012994707,0.1256083476221555
0.89,0.25962270578037044,0.0574193632839347,0.07986879056822899,0.12233455192820679
0.9,0.2851944534740338,0.05340801421723451,0.1321880828999399,0.09959835635685942
0.91,0.2639368795868491,0.037491819001629255,0.16489253517354088,0.061552525411678986
0.92,0.20828799953832391,0.01885587132162456,0.14289189384671844,0.04654023436998095
0.93,0.17160039302909003,0.033620102665140185,0.09235316763702438,0.04562712272692545
0.9400000000000001,0.18380355846331006,0.08071907978600526,0.06231298287320458,0.0407714958041002
0.9500000000000001,0.1996579446970371,0.09537468592779608,0.05603416813998286,0.04824909062925816
0.96,0.2062160802362029,0.08660870988523378,0.06813555213284005,0.05147181821812905
0.97,0.20238538957660324,0.06861810770512089,0.09820964478880008,0.035557637082682246
0.98,0.21099839922278266,0.04777066361292484,0.1449506636805557,0.018277071929302124
0.99,0.20616286865983488,0.037164774389011945,0.15231553961369873,0.016682554657124187
1.0,0.16319195469116932,0.046312089751650486,0.09085342585749684,0.02602643908202198
1.01,0.14416806918817476,0.06299007028294837,0.03762171317555674,0.04355628572966966
1.02,0.22272212868336838,0.1068311603351838,0.029630804218097342,0.08626016413008723
1.03,0.3071192165470504,0.1638338124857145,0.028847906081585984,0.11443749797974988
1.04,0.2830354283017251,0.16340756427215783,0.009763100185024567,0.1098647638445427
1.05,0.21446894266584016,0.1327682545367236,0.000997203728763243,0.08070348440035328
1.06,0.15336561353661354,0.11013978530058886,0.003621608989127495,0.03960421924689717
1.07,0.13049968312307986,0.09199425190822891,0.014124506398182761,0.02438092481666819
1.08,0.14988034565495126,0.06569963170284863,0.026434839896172957,0.05774587405592966
