# t MSD MSD_a MSD_b MSD_c MSCD
23800 5.144305076833487 1.9002366880345838 1.8863934470939232 1.3576749417049763 0.7710827657764905
24040 5.182736312446109 1.9170696340331357 1.9070032902226524 1.3586633881903336 0.7856202179416195
24280 5.235407187903348 1.9383543332758983 1.9304577566989263 1.3665950979285306 0.7814568694136116
24520 5.270797834376574 1.9557325297438366 1.9466420383822207 1.3684232662505218 0.7906024900776689
24760 5.314046362494435 1.9757108972028177 1.9654992201165604 1.3728362451750522 0.8201733564240788
25000 5.34738937371043 1.9926009431833371 1.9794831156136774 1.3753053149133911 0.8388269169500474
25240 5.38244908791675 2.005161928840048 1.9968508733648902 1.3804362857117716 0.8255500953068107
25480 5.42860473492703 2.029244128275697 2.015145506247378 1.3842151004039636 0.7776399022047117
25720 5.461215764942501 2.042913014635342 2.031686466028735 1.3866162842784422 0.829845085707257
25960 5.491484370221618 2.056638066570354 2.0471370605384767 1.3877092431127884 0.7981422887154879
26200 5.529458327178968 2.074534764700887 2.0652390395339637 1.3896845229441115 0.8257267791972107
26440 5.567874859691638 2.0923774720256727 2.0816497457856595 1.3938476418802985 0.8091345615066826
26680 5.596157123535039 2.1004808804433015 2.097939681588921 1.3977365615028503 0.8139982212958548
26920 5.644799582041817 2.121458574519342 2.1139773500173917 1.4093636575050572 0.7980888692264466
27160 5.681843392325454 2.13696618156857 2.12917803628036 1.4156991744765588 0.792900697322521
27400 5.711754477208227 2.1521806262779766 2.1409634627550425 1.4186103881752332 0.7800840049318226
27640 5.745995370597851 2.1609370023268903 2.1603922804312474 1.4246660878397304 0.8005840682969323
27880 5.785119088538752 2.174158649010882 2.1814701539907397 1.429490285537124 0.8151061832983886
28120 5.821124646757248 2.1882082504384015 2.1943333691014373 1.4385830272174127 0.8201948611010117
28360 5.855617576816155 2.2028880111746423 2.206816969566148 1.445912596075359 0.784344983143944
28600 5.897541906216155 2.214208284375421 2.227364349887794 1.4559692719529271 0.774891451655392
28840 5.952675261176613 2.232960274455343 2.2480533899194044 1.4716615968018747 0.7556953766116935
29080 5.993270675915063 2.247076748182278 2.262314472820289 1.4838794549125274 0.7275549874177054
29320 6.0374277123919855 2.261079398447513 2.282296439383515 1.4940518745609195 0.7504126875937017
29560 6.082741663881343 2.2815894811248967 2.299370757665092 1.501781425091319 0.7647032308958391
29800 6.134955001513712 2.2992416065890438 2.321054914011447 1.5146584809132277 0.7598027565802727
30040 6.185912499299538 2.314420176440609 2.340864350454682 1.5306279724042366 0.7236777702362523
30280 6.227543771353717 2.325759500918399 2.354604356512626 1.547179913922672 0.692271157291886
30520 6.280359066173756 2.337466763911498 2.372708510518895 1.570183791743384 0.7273730537000022
30760 6.33642755906611 2.353761223298345 2.3953438510255687 1.5873224847421765 0.7324952324718611
31000 6.382101800936258 2.371133754408513 2.414829261416325 1.5961387851114133 0.7111964581378086
31240 6.426186866041038 2.3864057480723186 2.432465076639571 1.6073160413291032 0.7305011368586248
31480 6.475252401088434 2.402080259594883 2.4536904104370287 1.6194817310564944 0.7617468762847239
31720 6.528051141133758 2.4183495879324517 2.4746118412825147 1.635089711918782 0.7221956076082119
31960 6.581539285712936 2.4330237329873126 2.4971821476383678 1.6513334050872546 0.7262109511232596
32200 6.6355410467220635 2.451294391660354 2.5169896443485213 1.6672570107131677 0.7421110646181773
32440 6.692295808443596 2.478493989950446 2.535122797591512 1.6786790209016533 0.7616808286851587
32680 6.734370464047321 2.488489999285343 2.5553527721086993 1.6905276926532717 0.7194087445978186
32920 6.779901694440265 2.505941654332214 2.572835735040216 1.7011243050678435 0.7355854138792574
33160 6.813275637257469 2.517601632488273 2.5859323231051863 1.7097416816640227 0.6477407248801746
33400 6.841901313593468 2.5308082100081597 2.595168926722752 1.7159241768625837 0.7244478349560485
33640 6.872085621107097 2.542237567152344 2.6086785317980796 1.7211695221566736 0.7386827640500812
33880 6.902591159386394 2.552426528815387 2.6201587771788057 1.730005853392174 0.7385496236843193
34120 6.935359796503427 2.564758946328241 2.628885194879877 1.7417156552952937 0.7727183575138018
34360 6.96372406327486 2.5749609586580093 2.64149353924486 1.747269565371972 0.7699587136289509
34600 6.989488788401469 2.5878992661795936 2.648275389329435 1.7533141328924369 0.7227425361969887
34840 7.014382220800013 2.6049693890151313 2.6504164413430225 1.758996390441814 0.7324314732108393
35080 7.0435408460122275 2.6194327263958077 2.662328130611057 1.7617799890053658 0.7236414819413767
35320 7.072185519060139 2.635707717656972 2.6730606741094407 1.7634171272937005 0.8190460797623582
35560 7.100374002900058 2.6459282302354095 2.6801548085042337 1.774290964160408 0.7883961892903332
35800 7.1352319431589235 2.661049231093987 2.6942906632611625 1.7798920488037557 0.8026042264349095
36040 7.186621329192167 2.6785355191060423 2.719697118290714 1.7883886917954426 0.750616559354392
36280 7.237550881294048 2.69230967006359 2.74255798592441 1.8026832253060368 0.7895216665522103
36520 7.287143243740402 2.7159003205107775 2.761778795919859 1.8094641273097642 0.7208302557675258
36760 7.333693000432075 2.734082846120419 2.780180187490229 1.8194299668214287 0.7200153749601595
37000 7.383379211745648 2.7534677722313585 2.794464212875862 1.8354472266384323 0.6838589883239611
37240 7.425246516032574 2.76957321507052 2.8127416223766097 1.8429316785854342 0.7160837389380524
37480 7.46885664338168 2.7824725321914223 2.8291560461209757 1.857228065069282 0.7790674104032185
37720 7.513365131481559 2.7940157377534387 2.854373365035006 1.8649760286931236 0.6852101606565211
37960 7.564262665101372 2.8085760681341645 2.8754629960276703 1.880223600939489 0.6740848744581943
38200 7.595298716706602 2.816700549867348 2.8844721794892663 1.894125987349979 0.689636672646584
38440 7.643082075673301 2.824493206921373 2.9060815925503802 1.9125072762015605 0.7003375881631878
38680 7.669205017513328 2.828172837749378 2.9204351777133106 1.9205970020506697 0.6439768705356237
38920 7.691209593154658 2.8251916036154223 2.92899920196184 1.9370187875773601 0.6970307955261498
39160 7.710458802241529 2.8217304309013778 2.941614336635791 1.9471140347043412 0.7204586982583979
39400 7.761514295874053 2.8298074135510958 2.958315163333109 1.9733917189898729 0.7684993888882499
39640 7.79417857141176 2.837030440162989 2.9696038918509835 1.987544239397788 0.8010539859476978
39880 7.834103029125759 2.8532886121794685 2.9890919390755095 1.9917224778707807 0.8261576110121186
40120 7.854964657014851 2.8514810860581585 3.00748709893902 1.9959964720176984 0.8446344207786297
40360 7.890433761897296 2.859896126823906 3.022195970690554 2.008341664382836 0.8568783579207895
40600 7.935951502361669 2.874483919912774 3.041341077510671 2.0201265049382084 0.8767305085822005
40840 7.958965449942236 2.8775314101680247 3.0584011432031364 2.023032896571105 0.8499170475192726
41080 7.982314276446433 2.875063904668513 3.073471544486608 2.033778827291276 0.8820411502358754
41320 8.00114586042582 2.8862817263347695 3.07871633089155 2.036147803199498 0.8212098464633505
41560 8.049507336477047 2.900271305780163 3.097040832788118 2.052195197908766 0.8590470722417205
41800 8.072666082402067 2.8969513173772867 3.113571249120466 2.0621435159043053 0.8542206385648611
42040 8.097623632325336 2.9079682287093145 3.1187167959465127 2.0709386076695013 0.7466280521899719
42280 8.133105198387538 2.9204270820475218 3.1349799312005313 2.077698185139469 0.6549069676204461
42520 8.166762067312428 2.9234963857829106 3.1605687892547603 2.082696892274752 0.5877257341442826
42760 8.176903875409169 2.935287853332357 3.1530432184146613 2.08857280366213 0.5881518041014556
43000 8.19848335325557 2.94282743187262 3.145211171822791 2.1104447495601786 0.6265078377336442
43240 8.202617828847858 2.942291972618364 3.1454642489722726 2.114861607257206 0.6852614310721443
43480 8.191341846610014 2.9481371713196745 3.1265194388996655 2.116685236390669 0.7454890071614041
43720 8.180986401577083 2.9578031380472636 3.1023188585669055 2.120864404962904 0.6927709203868897
43960 8.201313333889106 2.9692072857166156 3.0912840617262916 2.140821986446205 0.7427501782220339
44200 8.224751860034488 2.9851964067030203 3.0864812094733183 2.153074243858151 0.7548802042968671
44440 8.236836742051876 2.995598319529718 3.084236574631311 2.157001847890839 0.7132709827024545
44680 8.23907881282617 2.9832013025766777 3.0820909079964243 2.1737866022530627 0.6806836898993215
44920 8.232885973639576 2.9776910874213645 3.085478204585436 2.1697166816327855 0.7193656534185559
45160 8.208418897322813 2.960872026937501 3.082360429803099 2.1651864405822527 0.7133823983303095
45400 8.200352369913041 2.9500384260694594 3.0690689000805977 2.1812450437629596 0.7002914753204853
45640 8.211039977004722 2.9519616417269083 3.061133005488246 2.1979453297895795 0.6583658769331521
45880 8.24106847558649 2.972922728726688 3.0689491612864095 2.199196585573402 0.5866955853177565
46120 8.29165769846995 2.996976914459627 3.0821763001091216 2.2125044839012022 0.5951206942049797
46360 8.283411279562117 2.998914153281777 3.0707289980489643 2.213768128231377 0.5009532154863331
46600 8.30068488963582 3.011112690267979 3.0687477212403884 2.2208244781274438 0.4443486206594553
46840 8.25582305471838 2.9977666137117525 3.0625883216852254 2.195468119321418 0.4761802093169396
47080 8.261858811093111 3.0026660969135874 3.0683714224262126 2.190821291753298 0.5165482481478586
47320 8.280493297861272 2.9917685579358544 3.080180461436596 2.2085442784888314 0.5940045661944157
47560 8.227311030262804 2.982753930550254 3.060662027849106 2.1838950718634487 0.6304338130968129
47800 8.210664149859268 2.984787620804512 3.0553993401877473 2.1704771888670193 0.6724429164370198
48040 8.227587567754547 2.998610932305309 3.0762858446021513 2.152690790847098 0.7518880609157853
48280 8.287519304729921 3.0303965416606893 3.1073948301388943 2.1497279329303387 0.7078138658290976
48520 8.352677253263215 3.051447169871902 3.126920649450902 2.174309433940409 0.6110013311446306
48760 8.362169135301784 3.021658273217952 3.153842401286168 2.1866684607976694 0.6233688839065542
49000 8.375970033988333 2.9494035088998123 3.161524013505003 2.2650425115835056 0.6176094773140234
49240 8.390770150960478 2.9360128052574113 3.1356538061730412 2.319103539530022 0.3760249273948022
49480 8.347065967561896 2.962249039707257 3.030193956084853 2.354622971769784 0.2798736558002692
49720 8.43544715630258 2.9812494363217104 3.0655997503701364 2.3885979696107333 0.3787392144093922
49960 8.682424091614307 3.180602310668142 3.1809215844685 2.320900196477664 0.47609261960698274
